ListFormatIsList,SpecialSymbolsCount,WordsCount,SymbolCount,Lowercase,Uppercase,LastSymbolPd,FirstKeyWord,PrevElementMark,CurElementMark,FullBold,Alignment,KeepLinesTogether,LeftIndentation,LineSpacing,NoSpaceBetweenParagraphsOfSameStyle,OutlineLevel,RightIndentation,SpaceAfter,SpaceBefore,SpecialIndentation
FALSE,3,16,130,FALSE,FALSE,.,TitleLevel1,m0,m0,FALSE,Left,FALSE,5,1.0875,FALSE,BodyText,0,0,9.65,0
FALSE,6,41,258,FALSE,FALSE,.,,c1,c1,FALSE,Justify,FALSE,5,"1,4666666666666666",FALSE,BodyText,7.2,0,"7,050000000000001",-28
FALSE,5,62,494,FALSE,FALSE,.,,c1,c1,FALSE,Justify,FALSE,5,"1,4791666666666667",FALSE,BodyText,7.2,0,"7,050000000000001",-28
FALSE,6,55,386,FALSE,FALSE,.,,c1,c1,FALSE,Justify,FALSE,5,"1,4791666666666667",FALSE,BodyText,7.2,0,8.3,-28
FALSE,6,48,377,FALSE,FALSE,.,,m0,c1,FALSE,Justify,FALSE,5,"1,4791666666666667",FALSE,BodyText,7.2,0,"3,9000000000000004",0
FALSE,0,1,0,TRUE,TRUE,,,n0,g0,FALSE,Left,FALSE,0,1,FALSE,BodyText,0,0,7.45,0
FALSE,1,4,15,FALSE,FALSE,.,TitleLevel1,m0,m0,FALSE,Left,FALSE,5,1,FALSE,BodyText,0,0,8.9,0
FALSE,1,4,11,TRUE,FALSE,.,,m0,m0,FALSE,Left,FALSE,5,"1,1416666666666666",FALSE,BodyText,0,0,0,0
FALSE,7,27,165,FALSE,FALSE,.,TitleLevel1,m0,m0,FALSE,Left,FALSE,5,1.0875,FALSE,BodyText,0,0,"10,950000000000001",0
FALSE,4,43,357,FALSE,FALSE,.,,m0,c1,FALSE,Justify,FALSE,5,"1,4791666666666667",FALSE,BodyText,7.2,0,"3,9000000000000004",-28
FALSE,8,169,1204,FALSE,FALSE,,,c1,c1,FALSE,Justify,FALSE,5,"1,4666666666666666",FALSE,BodyText,7.2,0,"0,30000000000000004",0
FALSE,3,35,274,FALSE,FALSE,.,,c1,c1,FALSE,Justify,FALSE,5,"1,4666666666666666",FALSE,BodyText,7.2,0,"7,050000000000001",-28
FALSE,0,1,0,TRUE,TRUE,,,c1,g0,FALSE,Left,FALSE,0,1,FALSE,BodyText,0,0,7.4,0
FALSE,3,9,75,FALSE,FALSE,.,TitleLevel1,g0,m0,FALSE,Left,FALSE,5,1,FALSE,BodyText,0,0,7.95,0
FALSE,2,11,83,FALSE,FALSE,,TitleLevel1,m0,m0,FALSE,Left,FALSE,5,1,FALSE,BodyText,0,0,"10,950000000000001",0
FALSE,2,17,132,FALSE,FALSE,.,TitleLevel1,g0,m0,FALSE,Left,FALSE,5,1.0875,FALSE,BodyText,0,0,"8,200000000000001",0
FALSE,4,65,458,FALSE,FALSE,.,,m0,c1,FALSE,Justify,FALSE,5,"1,4666666666666666",FALSE,BodyText,7.2,0,"3,9000000000000004",0
FALSE,3,83,648,FALSE,FALSE,.,,c1,c1,FALSE,Justify,FALSE,5,"1,4666666666666666",FALSE,BodyText,7.2,0,8.35,-28
FALSE,4,8,52,FALSE,FALSE,.,,m0,m0,FALSE,Left,FALSE,5,1,FALSE,BodyText,0,0,"1,2000000000000002",0
FALSE,5,65,563,FALSE,FALSE,.,,c1,c1,FALSE,Left,FALSE,5,"1,4791666666666667",FALSE,BodyText,7.15,0,8.35,-28
FALSE,4,12,79,FALSE,FALSE,.,TitleLevel1,g0,m0,FALSE,Left,FALSE,5,1,FALSE,BodyText,0,0,7.95,0
FALSE,9,17,170,FALSE,FALSE,.,TitleLevel1,m0,m0,FALSE,Left,FALSE,5,1.0875,FALSE,BodyText,21.85,0,"10,950000000000001",0
FALSE,3,29,230,FALSE,FALSE,.,,m0,c1,FALSE,Left,FALSE,5,"1,4666666666666666",FALSE,BodyText,7.2,0,"3,9000000000000004",-28
FALSE,3,27,243,FALSE,FALSE,:,,c1,c2,FALSE,Justify,FALSE,5,"1,4666666666666666",FALSE,BodyText,7.2,0,8.35,-28
TRUE,1,5,55,FALSE,TRUE,;,,d2,d2,FALSE,Left,FALSE,"33,050000000000004",1,FALSE,BodyText,0,0,0,8.35
FALSE,0,1,0,TRUE,TRUE,,,n0,g0,FALSE,Left,FALSE,0,1,FALSE,BodyText,0,0,9.75,0
TRUE,2,9,67,FALSE,TRUE,.,,d1,d2,FALSE,Left,FALSE,5,1.4875,FALSE,BodyText,7.75,0,1,-28
TRUE,1,10,80,FALSE,TRUE,;,,d2,d2,FALSE,Left,FALSE,5,1.4875,FALSE,BodyText,"7,800000000000001",0,6.9,-32.25
TRUE,1,6,60,FALSE,TRUE,,,d2,d2,FALSE,Left,FALSE,39.8,"1,2583333333333333",FALSE,BodyText,0,0,0,"11,700000000000001"
TRUE,2,8,78,FALSE,TRUE,;,,d2,d2,FALSE,Left,FALSE,5,1.4875,FALSE,BodyText,7.2,0,"0,9500000000000001",-28
TRUE,1,8,85,FALSE,TRUE,;,,d2,d2,FALSE,Left,FALSE,5,"1,4291666666666667",FALSE,BodyText,7.75,0,0.05,-28
FALSE,1,8,49,FALSE,TRUE,;,,d2,d2,FALSE,Left,FALSE,5,1,FALSE,BodyText,0,0,7.9,0
FALSE,3,50,419,FALSE,FALSE,,,d3,c1,FALSE,Justify,FALSE,5,"1,4666666666666666",FALSE,BodyText,7.2,0,7.9,-28
FALSE,0,1,0,TRUE,TRUE,,,c1,g0,FALSE,Left,FALSE,0,1,FALSE,BodyText,0,0,7.2,0
TRUE,1,7,55,FALSE,FALSE,.,,d2,d3,FALSE,Left,FALSE,"33,050000000000004",1,FALSE,BodyText,0,0,7.9,8.35
FALSE,5,17,131,FALSE,FALSE,.,TitleLevel1,g0,m0,FALSE,Left,FALSE,5,1.0875,FALSE,BodyText,7.2,0,"8,200000000000001",0
FALSE,3,14,97,FALSE,TRUE,.,,m0,c1,FALSE,Justify,FALSE,5,1.4875,FALSE,BodyText,7.2,0,"3,9000000000000004",0
FALSE,5,46,387,FALSE,FALSE,.,,c1,c1,FALSE,Justify,FALSE,5,"1,4791666666666667",FALSE,BodyText,7.2,0,7.9,0
FALSE,2,10,67,FALSE,FALSE,,,c1,c1,FALSE,Justify,FALSE,33,"1,2583333333333333",FALSE,BodyText,0,0,0,0
FALSE,3,62,500,FALSE,FALSE,.,,c1,c1,FALSE,Justify,FALSE,5,"1,4666666666666666",FALSE,BodyText,7.2,0,7.9,0
FALSE,3,12,90,FALSE,FALSE,,,c1,b1,TRUE,Justify,FALSE,5,1.4875,FALSE,BodyText,7.2,0,"3,9000000000000004",-28
FALSE,1,10,65,FALSE,FALSE,,,c1,c1,FALSE,Justify,FALSE,33,1.2625,FALSE,BodyText,0,0,0,0
FALSE,3,79,551,FALSE,FALSE,.,,b1,c1,FALSE,Justify,FALSE,5,"1,4666666666666666",FALSE,BodyText,7.2,0,5,-28
TRUE,2,10,69,FALSE,FALSE,,,c1,b2,TRUE,Justify,FALSE,5,1.4875,FALSE,BodyText,"7,800000000000001",0,6.7,-28
